Ship_Status,NDR_Remarks,Total_Attempts,AWB
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000197511
RTO,Rejected,Attempt 2,STLC8000196890
RTO,Rejected,Attempt 2,STLC8000182563
Exception,Rejected,Attempt 2,STLC8000194296
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197134
RTO,Rejected,Attempt 2,STLC8000197436
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196386
RTO,Rejected,Attempt 3,STLC8000196839
Exception,Rejected,Attempt 3,STLC8000197162
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196491
RTO,Rejected,Attempt 2,STLC8000197044
Exception,Out of delivery area (Pincode-Address mismatch),Attempt 1,STLC8000197309
RTO,Rejected,Attempt 1,STLC8000197663
RTO,Rejected,Attempt 2,STLC8000196938
RTO,Rejected,Attempt 1,STLC8000196995
RTO,Rejected,Attempt 2,STLC8000196742
RTO,Rejected,Attempt 2,STLC8000197917
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000194724
RTO,Rejected,Attempt 2,STLC8000197882
RTO,Rejected,Attempt 2,STLC8000197521
RTO,Rejected,Attempt 2,STLC8000196647
RTO,Rejected,Attempt 2,STLC8000197858
RTO,Rejected,Attempt 2,STLC8000197181
RTO,Rejected,Attempt 2,STLC8000188970
RTO,Rejected,Attempt 2,STLC8000197772
RTO,Rejected,Attempt 2,STLC8000190243
Exception,Request for reschedule,Attempt 1,STLC8000196190
RTO,Rejected,Attempt 2,STLC8000197584
RTO,Rejected,Attempt 2,STLC8000192108
RTO,Rejected,Attempt 1,STLC8000197799
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000195469
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000194073
RTO,Rejected,Attempt 2,STLC8000197795
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000197571
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197530
RTO,Rejected,Attempt 2,STLC8000194370
Out For Delivery,Customer Not Responding,Attempt 1,STLC8000197713
RTO,Rejected,Attempt 2,STLC8000196279
RTO,Rejected,Attempt 2,STLC8000197600
RTO,Rejected,Attempt 1,STLC8000197365
RTO,Rejected,Attempt 1,STLC8000197579
RTO,Rejected,Attempt 2,STLC8000195869
RTO,Rejected,Attempt 2,STLC8000197446
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197236
RTO,Rejected,Attempt 2,STLC8000196832
RTO,Rejected,Attempt 2,STLC8000196989
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197070
RTO,Rejected,Attempt 2,STLC8000196390
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000195955
RTO,Rejected,Attempt 3,STLC8000197519
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196846
RTO,Rejected,Attempt 2,STLC8000193896
RTO,Rejected,Attempt 2,STLC8000197768
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197638
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000193175
RTO,Rejected,Attempt 2,STLC8000196417
RTO,Rejected,Attempt 3,STLC8000194202
RTO,Rejected,Attempt 2,STLC8000197803
RTO,Rejected,Attempt 2,STLC8000196271
RTO,Rejected,Attempt 2,STLC8000196722
Exception,Request for reschedule,Attempt 1,STLC8000194231
RTO,Rejected,Attempt 2,STLC8000195220
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197027
RTO,Rejected,Attempt 2,STLC8000197724
Exception,Rejected,Attempt 2,STLC8000196843
RTO,Rejected,Attempt 2,STLC8000196732
Exception,Rejected,Attempt 2,STLC8000196188
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196715
RTO,Rejected,Attempt 2,STLC8000195422
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196793
RTO,Rejected,Attempt 2,STLC8000197565
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196886
RTO,Rejected,Attempt 2,STLC8000196488
RTO,Rejected,Attempt 2,STLC8000197781
RTO,Rejected,Attempt 2,STLC8000196419
Out For Delivery,Customer Not Responding,Attempt 2,STLC8000194034
RTO,Rejected,Attempt 2,STLC8000196806
RTO,Rejected,Attempt 2,STLC8000196076
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000196234
RTO,Rejected,Attempt 2,STLC8000195786
Exception,Customer Not Responding,Attempt 3,STLC8000198008
Exception,Rejected,Attempt 2,STLC8000197226
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000196978
RTO,Rejected,Attempt 2,STLC8000196640
RTO,Rejected,Attempt 2,STLC8000196795
RTO,Rejected,Attempt 1,STLC8000197400
RTO,Rejected,Attempt 2,STLC8000197146
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000195806
Exception,Request for reschedule,Attempt 3,STLC8000197952
RTO,Request for reschedule,Attempt 3,STLC8000197864
RTO,Rejected,Attempt 2,STLC8000197050
RTO,Rejected,Attempt 2,STLC8000173782
RTO,Request for reschedule,Attempt 3,STLC8000197185
Exception,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000197481
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000197543
RTO,Rejected,Attempt 2,STLC8000194639
Out For Delivery,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003362898
RTO,Rejected,Attempt 2,STLC8000194536
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196861
RTO,Rejected,Attempt 2,STLC8000197976
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000196663
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000196450
RTO,Rejected,Attempt 2,STLC8000197605
RTO,Rejected,Attempt 2,STLC8000198082
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 3,412003363255
RTO,Rejected,Attempt 2,STLC8000195357
RTO,231 - Shipment attempted - Customer not available,Attempt 1,412003362919
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197649
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000197319
RTO,Rejected,Attempt 2,STLC8000196486
RTO,Rejected,Attempt 2,STLC8000197424
RTO,Rejected,Attempt 2,STLC8000197068
RTO,Rejected,Attempt 2,STLC8000196757
Exception,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003363314
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000194798
RTO,Rejected,Attempt 2,STLC8000197285
RTO,Rejected,Attempt 1,STLC8000190579
Exception,Rejected,Attempt 2,STLC8000197077
RTO,Rejected,Attempt 2,STLC8000197658
RTO,Rejected,Attempt 2,STLC8000197944
RTO,Rejected,Attempt 2,STLC8000197363
Exception,Request for reschedule,Attempt 1,STLC8000196081
Exception,Undelivered due to incomplete address,Attempt 3,STLC8000196535
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196373
Out For Delivery,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003363852
RTO,Rejected,Attempt 2,STLC8000197666
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000188364
Out For Delivery,Request for reschedule,Attempt 1,STLC8000184302
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196917
RTO,Rejected,Attempt 2,STLC8000197737
RTO,Rejected,Attempt 2,STLC8000187661
RTO,Rejected,Attempt 2,STLC8000196756
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000197321
RTO,Rejected,Attempt 2,STLC8000194864
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197778
Delivered,231 - Shipment attempted - Customer not available,Attempt 1,412003362749
RTO,Rejected,Attempt 1,STLC8000195415
RTO,Rejected,Attempt 2,STLC8000196469
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000197257
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000176586
RTO,Rejected,Attempt 2,STLC8000196740
Delivered,Delivery attempt failed(No response from customer),Attempt 2,STLC8000198160
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197368
RTO,Rejected,Attempt 2,STLC8000197357
RTO,Rejected,Attempt 2,STLC8000197696
RTO,Rejected,Attempt 2,STLC8000197987
RTO,Rejected,Attempt 2,STLC8000197887
RTO,Rejected,Attempt 2,STLC8000197599
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000195878
Exception,Rejected,Attempt 1,STLC8000197846
RTO,Rejected,Attempt 2,STLC8000197514
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000197684
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 3,412003363640
Exception,Rejected,Attempt 2,STLC8000195535
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197834
Exception,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000196143
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000196542
RTO,Rejected,Attempt 2,STLC8000197318
RTO,Rejected,Attempt 2,STLC8000197904
RTO,Rejected,Attempt 1,STLC8000197477
RTO,Rejected,Attempt 1,STLC8000196184
Delivered,Request for reschedule,Attempt 3,STLC8000190289
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000196207
Exception,210 - Customer Refused Delivery at Doorstep,Attempt 1,412003364296
RTO,Rejected,Attempt 2,STLC8000197739
RTO,Rejected,Attempt 2,STLC8000197746
RTO,Rejected,Attempt 2,STLC8000196570
Exception,Rejected,Attempt 2,STLC8000197138
RTO,Rejected,Attempt 2,STLC8000197679
RTO,Rejected,Attempt 1,STLC8000197868
Exception,Rejected,Attempt 2,STLC8000197568
Delivered,Delivery attempt failed(No response from customer),Attempt 2,STLC8000197359
RTO,Rejected,Attempt 2,STLC8000196262
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000191937
RTO,Rejected,Attempt 2,STLC8000197542
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003362667
RTO,Rejected,Attempt 2,STLC8000197968
RTO,Rejected,Attempt 2,STLC8000196585
Exception,Rejected,Attempt 3,STLC8000197219
Exception,Customer Not Responding,Attempt 3,STLC8000197232
RTO,Rejected,Attempt 2,STLC8000198021
RTO,Rejected,Attempt 1,STLC8000196008
Exception,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 2,STLC8000198099
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197065
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000196511
RTO,Rejected,Attempt 1,STLC8000197909
RTO,Rejected,Attempt 2,STLC8000196776
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000196477
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197594
RTO,Rejected,Attempt 2,STLC8000197855
RTO,Rejected,Attempt 1,STLC8000197015
Exception,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197076
RTO,Rejected,Attempt 1,STLC8000195093
RTO,Rejected,Attempt 2,STLC8000197892
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196521
Exception,Unable to attempt delivery due to operational issues,Attempt 2,STLC8000195683
Delivered,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 2,STLC8000198319
Out For Delivery,Request for reschedule,Attempt 1,STOC9000745471
RTO,Rejected,Attempt 2,STLC8000194958
Out For Delivery,Delivery attempt failed(No response from customer),Attempt 3,STLC8000196786
In Transit,210 - Shipment attempted - Customer refused to accept,Attempt 1,412003363818
RTO,Rejected,Attempt 1,STLC8000196773
RTO,Rejected,Attempt 2,STLC8000197172
RTO,Rejected,Attempt 1,STLC8000197942
RTO,Rejected,Attempt 1,STLC8000198622
Delivered,Unable to attempt delivery due to operational issues,Attempt 1,STLC8000198146
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 1,412003363042
Exception,Unable to attempt delivery due to operational issues,Attempt 3,STLC8000196468
RTO,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000196787
RTO,Rejected,Attempt 2,STLC8000198016
RTO,210 - Customer Refused Delivery at Doorstep,Attempt 1,412003363732
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197589
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003248871
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364016
RTO,Rejected,Attempt 2,STLC8000195624
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000198295
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003364262
Exception,Rejected,Attempt 2,STLC8000197255
Delivered,Delivery attempt failed(No response from customer),Attempt 1,STLC8000197595
RTO,Rejected,Attempt 2,STLC8000195256
RTO,Unable to attempt delivery due to operational issues,Attempt 3,STLC8000198150
In Transit,210 - Customer Refused Delivery at Doorstep,Attempt 2,412003362795
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000198457
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197536
In Transit,231 - Shipment attempted - Customer not available,Attempt 1,412003363697
RTO,Rejected,Attempt 2,STLC8000195612
RTO,Rejected,Attempt 2,STLC8000197409
RTO,Rejected,Attempt 2,STLC8000198002
RTO,Rejected,Attempt 2,STLC8000194484
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000197342
Out For Delivery,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000196012
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000185214
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003363421
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197577
Exception,Customer Not Responding,Attempt 3,STLC8000194238
Exception,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 3,STLC8000195466
RTO,Rejected,Attempt 1,STLC8000198118
In Transit,231 - Shipment attempted - Customer not available,Attempt 1,412003360922
RTO,Rejected,Attempt 2,STLC8000197689
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197711
RTO,Rejected,Attempt 1,STLC8000197178
RTO,Rejected,Attempt 2,STLC8000193883
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000197443
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000198359
Out For Delivery,210 - Shipment attempted - Customer refused to accept,Attempt 1,412003364300
In Transit,Your order could not be delivered today and will be delivered in the next 3 days.,Attempt 1,STLC8000197276
RTO,Rejected,Attempt 2,STLC8000196895
RTO,Rejected,Attempt 2,STLC8000197527
Exception,Request for reschedule,Attempt 1,STLC8000198023
RTO,Rejected,Attempt 1,STLC8000196725
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000197765
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-17 00:00:00.0),Attempt 1,STLC8000198634
RTO,Rejected,Attempt 1,STLC8000198508
In Transit,2405 - Address not locatable and Addressee not contactable,Attempt 1,412003363323
Exception,Delivery attempt failed(No response from customer),Attempt 2,STLC8000196870
RTO,Rejected,Attempt 2,STLC8000193249
Exception,Rejected,Attempt 2,STLC8000198004
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 2,STLC8000198053
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197064
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000194801
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000192914
RTO,Rejected,Attempt 2,STLC8000196358
RTO,Rejected,Attempt 2,STLC8000198510
RTO,Rejected,Attempt 2,STLC8000192934
RTO,Rejected,Attempt 2,STLC8000198239
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000198486
RTO,Rejected,Attempt 2,STLC8000197455
RTO,Rejected,Attempt 2,STLC8000189865
In Transit,231 - Shipment attempted - Customer not available,Attempt 3,412003362703
RTO,Rejected,Attempt 2,STLC8000197812
RTO,Rejected,Attempt 2,STLC8000195010
Exception,Delivery attempt failed(No response from customer),Attempt 3,STLC8000197906
RTO,Rejected,Attempt 2,STLC8000197990
Exception,Delivery attempt failed(Customer rejected),Attempt 1,STLC8000197335
RTO,Rejected,Attempt 2,STLC8000197140
RTO,2405 - Address not locatable and Addressee not contactable,Attempt 2,412003363894
RTO,Rejected,Attempt 3,STLC8000198288
RTO,Rejected,Attempt 2,STLC8000197780
Exception,Undelivered due to incomplete address,Attempt 1,STLC8000192705
Out For Delivery,Undelivered. (Rescheduled to: 2024-01-16 00:00:00.0),Attempt 3,STLC8000197118
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000198684
RTO,Rejected,Attempt 1,STLC8000197687
Out For Delivery,Customer not available at given address and not reachable over phone,Attempt 2,14227883279535
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000198597
Out For Delivery,331 - Consignee requested for future delivery ,Attempt 2,412003362738
Exception,Unable to attempt delivery due to operational issues,Attempt 3,STLC8000196384
Exception,Rejected,Attempt 2,STLC8000197428
RTO,Rejected,Attempt 2,STLC8000198674
RTO,Rejected,Attempt 2,STLC8000197921
RTO,Rejected,Attempt 1,STLC8000197744
RTO,Rejected,Attempt 2,STLC8000197056
Out For Delivery,Request for reschedule,Attempt 1,STLC8000198180
Exception,Undelivered. (Rescheduled to: 2024-01-15 00:00:00.0),Attempt 3,STLC8000196239
RTO,Customer Not Responding,Attempt 3,STLC8000197523
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197096
RTO,Delivery attempt failed(No response from customer),Attempt 3,STLC8000198890
RTO,Rejected,Attempt 2,STLC8000198507
RTO,Rejected,Attempt 2,STLC8000194317
RTO,Rejected,Attempt 2,STLC8000197913
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000197854
Exception,Rejected,Attempt 2,STLC8000197773
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000198028
Exception,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000197509
RTO,Undelivered. (Rescheduled to: 2024-01-13 00:00:00.0),Attempt 3,STLC8000198071
RTO,Delivery attempt failed(Customer rejected),Attempt 2,STLC8000196506
RTO,Delivery attempt failed(Customer rejected),Attempt 3,STLC8000198482
Exception,Undelivered. (Rescheduled to: 2024-01-14 00:00:00.0),Attempt 3,STLC8000197907
